('106', 'TheFalloftheRomanEmpire', '1964', 'USA', '172', 'English', 'Approved', '', '19000000'),
('107', 'TheTrain', '1964', 'France', '133', 'English', 'Unrated', '', '6700000'),
('108', 'UneFemmeMarie', '1964', 'France', '94', 'French', '', '', '120000'),
('109', 'DoctorZhivago', '1965', 'USA', '200', 'English', 'PG13', '111722000', '11000000'),
('110', 'MajorDundee', '1965', 'USA', '152', 'English', 'Approved', '14873', '3800000'),
('111', 'PierrotleFou', '1965', 'France', '110', 'French', 'NotRated', '', '300000'),
('112', 'TheGreatestStoryEverTold', '1965', 'USA', '225', 'English', 'G', '8000000', '20000000'),
('113', 'ThePartysOver', '1965', 'UK', '94', 'English', '', '', ''),
('114', 'TheSoundofMusic', '1965', 'USA', '174', 'English', 'G', '163214286', '8200000'),
('115', 'Thunderball', '1965', 'UK', '130', 'English', 'Approved', '63600000', '9000000'),
('116', 'AFunnyThingHappenedontheWaytotheForum', '1966', 'USA', '99', 'English', 'Approved', '', '2000000'),
('117', 'AManforAllSeasons', '1966', 'UK', '120', 'English', 'Approved', '', '2000000'),
('118', 'BatmanTheMovie', '1966', 'USA', '105', 'English', 'Approved', '', '1377800'),
('119', 'Harper', '1966', 'USA', '121', 'English', 'NotRated', '', '3500000'),
('120', 'TheGoodtheBadandtheUgly', '1966', 'Italy', '142', 'Italian', 'Approved', '6100000', '1200000'),
('121', 'TornCurtain', '1966', 'USA', '128', 'English', 'Approved', '', '6000000'),
('122', 'InColdBlood', '1967', 'USA', '134', 'English', 'Approved', '', '3500000'),
('123', 'PointBlank', '1967', 'USA', '92', 'English', 'Approved', '', '3000000'),
('124', 'TheTortureChamberofDrSadism', '1967', 'WestGermany', '80', 'German', 'M', '', ''),
('125', 'YouOnlyLiveTwice', '1967', 'UK', '117', 'English', 'Approved', '43100000', '9500000'),
('126', '2001ASpaceOdyssey', '1968', 'UK', '161', 'English', 'G', '56715371', '12000000'),
('127', 'Barbarella', '1968', 'France', '98', 'English', 'PG', '', '9000000'),
('128', 'Charly', '1968', 'USA', '103', 'English', 'PG', '', ''),
('129', 'HangEmHigh', '1968', 'USA', '114', 'English', 'M', '', '1800000'),
('130', 'NightoftheLivingDead', '1968', 'USA', '96', 'English', 'Unrated', '', '114000'),
('131', 'NightoftheLivingDead', '1968', 'USA', '96', 'English', 'Unrated', '', '114000'),
('132', 'Oliver', '1968', 'UK', '153', 'English', 'G', '16800000', '10000000'),
('133', 'OnceUponaTimeintheWest', '1968', 'Italy', '145', 'English', 'PG13', '', '5000000'),
('134', 'RosemarysBaby', '1968', 'USA', '136', 'English', 'R', '', '2300000'),
('135', 'Shalako', '1968', 'UK', '113', 'English', 'PG', '', '1455000'),
('136', 'YoursMineandOurs', '1968', 'USA', '111', 'English', 'Unrated', '', '2500000'),
('137', 'ButchCassidyandtheSundanceKid', '1969', 'USA', '110', 'English', 'M', '102308900', '6000000'),
('138', 'MachineGunMcCain', '1969', 'Italy', '96', 'English', 'GP', '', ''),
('139', 'MidnightCowboy', '1969', 'USA', '113', 'English', 'X', '', '3600000'),
('140', 'MississippiMermaid', '1969', 'France', '123', 'French', 'R', '26893', '1600000'),
('141', 'OnHerMajestysSecretService', '1969', 'UK', '142', 'English', 'M', '22800000', '7000000'),
('142', 'PaintYourWagon', '1969', 'USA', '158', 'English', 'PG13', '', '20000000'),
('143', 'SweetCharity', '1969', 'USA', '154', 'English', 'G', '', '20000000'),
('144', 'TheStewardesses', '1969', 'USA', '93', 'English', 'X', '', '100000'),
('145', 'TheWildBunch', '1969', 'USA', '144', 'English', 'R', '', '6244087'),
('146', 'Topaz', '1969', 'USA', '127', 'English', 'M', '', '4000000'),
('147', 'BeneaththePlanetoftheApes', '1970', 'USA', '95', 'English', 'G', '', '3000000'),
('148', 'BeyondtheValleyoftheDolls', '1970', 'USA', '109', 'English', 'X', '9000000', '900000'),
('149', 'Catch22', '1970', 'USA', '122', 'English', 'R', '', '18000000'),
('150', 'CottonComestoHarlem', '1970', 'USA', '97', 'English', 'R', '', '1200000'),
('151', 'DarlingLili', '1970', 'USA', '143', 'English', 'G', '5000000', '25000000'),
('152', 'Patton', '1970', 'USA', '172', 'English', 'GP', '', '12000000'),
('153', 'TheBalladofCableHogue', '1970', 'USA', '121', 'English', 'R', '', '3716946'),
('154', 'TheConformist', '1970', 'Italy', '106', 'Italian', 'R', '', '750000'),
('155', 'TheMollyMaguires', '1970', 'USA', '124', 'English', 'PG', '', '11000000'),
('156', 'ToraToraTora', '1970', 'Japan', '160', 'English', 'G', '14500000', '25000000'),
('157', 'Waterloo', '1970', 'Italy', '134', 'English', 'G', '', '25000000'),
('158', 'Woodstock', '1970', 'USA', '215', 'English', 'R', '13300000', '600000'),
('159', 'Bananas', '1971', 'USA', '82', 'English', 'GP', '', '2000000'),
('160', 'DiamondsAreForever', '1971', 'UK', '120', 'English', 'GP', '43800000', '7200000'),
('161', 'EscapefromthePlanetoftheApes', '1971', 'USA', '98', 'English', 'G', '', '2500000'),
('162', 'FiddlerontheRoof', '1971', 'USA', '181', 'English', 'G', '50000000', '9000000'),
('163', 'PinkNarcissus', '1971', 'USA', '65', 'English', 'NotRated', '8231', '27000'),
('164', 'SweetSweetbacksBaadasssssSong', '1971', 'USA', '97', 'English', 'R', '15180000', '500000'),
('165', 'TheAndromedaStrain', '1971', 'USA', '115', 'English', 'G', '', '6500000'),
('166', 'TheFrenchConnection', '1971', 'USA', '104', 'English', 'R', '', '1800000'),
('167', 'TheFrenchConnection', '1971', 'USA', '104', 'English', 'R', '', '1800000'),
('168', 'TheNightVisitor', '1971', 'USA', '106', 'English', 'GP', '', ''),
('169', 'WillyWonkatheChocolateFactory', '1971', 'USA', '89', 'English', 'G', '', '3000000'),
('170', '1776', '1972', 'USA', '168', 'English', 'PG', '', '4000000'),
('171', 'ConquestofthePlanetoftheApes', '1972', 'USA', '88', 'English', 'PG', '', '1700000'),
('172', 'CriesWhispers', '1972', 'Sweden', '91', 'Swedish', 'R', '', '400000'),
('173', 'EverythingYouAlwaysWantedtoKnowAboutSexButWereAfraidtoAsk', '1972', 'USA', '88', 'English', 'R', '', '2000000'),
('174', 'Frenzy', '1972', 'UK', '116', 'English', 'R', '', '2000000'),
('175', 'PinkFlamingos', '1972', 'USA', '108', 'English', 'NC17', '180483', '10000'),
('176', 'SilentRunning', '1972', 'USA', '89', 'English', 'GP', '', '1000000'),
('177', 'Solaris', '1972', 'SovietUnion', '115', 'Russian', 'PG', '', '1000000'),
('178', 'TheGodfather', '1972', 'USA', '175', 'English', 'R', '134821952', '6000000'),
('179', 'AmericanGraffiti', '1973', 'USA', '112', 'English', 'PG', '115000000', '777000'),
('180', 'BattleforthePlanetoftheApes', '1973', 'USA', '96', 'English', 'G', '', '1800000'),
('181', 'HighPlainsDrifter', '1973', 'USA', '105', 'English', 'R', '', '5500000'),
('182', 'LiveandLetDie', '1973', 'UK', '121', 'English', 'PG', '35400000', '7000000'),
('183', 'MeanStreets', '1973', 'USA', '112', 'English', 'R', '32645', '500000'),
('184', 'PatGarrettBillytheKid', '1973', 'USA', '106', 'English', 'R', '', '4638783'),
('185', 'Sleeper', '1973', 'USA', '89', 'English', 'PG', '', '2000000'),
('186', 'TheExorcist', '1973', 'USA', '132', 'English', 'R', '204565000', '8000000'),
('187', 'TheSting', '1973', 'USA', '129', 'English', 'PG', '159600000', '5500000'),
('188', 'Benji', '1974', 'USA', '86', 'English', 'G', '39552600', '500000'),
('189', 'BlazingSaddles', '1974', 'USA', '93', 'English', 'R', '119500000', '2600000'),
('190', 'TheConversation', '1974', 'USA', '113', 'English', 'PG', '', '1600000'),
('191', 'TheFrontPage', '1974', 'USA', '105', 'English', 'PG', '', '4000000'),
('192', 'TheGodfatherPartII', '1974', 'USA', '220', 'English', 'R', '57300000', '13000000'),
('193', 'TheManwiththeGoldenGun', '1974', 'UK', '125', 'English', 'PG', '21000000', '13000000'),
('194', 'TheTexasChainSawMassacre', '1974', 'USA', '88', 'English', 'R', '30859000', '83532'),
('195', 'TheTexasChainSawMassacre', '1974', 'USA', '88', 'English', 'R', '30859000', '83532'),
('196', 'YoungFrankenstein', '1974', 'USA', '106', 'English', 'PG', '86300000', '2800000'),
('197', 'BarryLyndon', '1975', 'UK', '184', 'English', 'PG', '', '11000000'),
('198', 'DeathRace2000', '1975', 'USA', '80', 'English', 'R', '', '300000'),
('199', 'Jaws', '1975', 'USA', '130', 'English', 'PG', '260000000', '8000000'),
('200', 'MontyPythonandtheHolyGrail', '1975', 'UK', '91', 'English', 'PG', '1229197', '229575'),
('201', 'OneFlewOvertheCuckoosNest', '1975', 'USA', '133', 'English', 'R', '112000000', '4400000'),
('202', 'TheReturnofthePinkPanther', '1975', 'UK', '113', 'English', 'G', '', '5000000'),
('203', 'FamilyPlot', '1976', 'USA', '120', 'English', 'PG', '', '4490375'),
('204', 'LogansRun', '1976', 'USA', '119', 'English', 'PG', '25000000', '9000000'),
('205', 'Network', '1976', 'USA', '121', 'English', 'R', '', '3800000'),
('206', 'RobinandMarian', '1976', 'USA', '106', 'English', 'PG', '', '5000000'),
('207', 'Rocky', '1976', 'USA', '145', 'English', 'PG', '117235247', '960000'),
('208', 'SilentMovie', '1976', 'USA', '87', '', 'PG', '', '4400000'),
('209', 'TaxiDriver', '1976', 'USA', '110', 'English', 'R', '', '1300000'),
('210', 'TheBadNewsBears', '1976', 'USA', '102', 'English', 'PG', '', ''),
('211', 'TheOmen', '1976', 'UK', '107', 'English', 'R', '', '2800000'),
('212', 'TheOmen', '1976', 'UK', '107', 'English', 'R', '', '2800000'),
('213', 'ABridgeTooFar', '1977', 'USA', '175', 'English', 'PG', '50800000', '26000000'),
('214', 'AnnieHall', '1977', 'USA', '93', 'English', 'PG', '39200000', '4000000'),
('215', 'CapricornOne', '1977', 'USA', '130', 'English', 'PG', '', '5000000'),
('216', 'CloseEncountersoftheThirdKind', '1977', 'USA', '135', 'English', 'PG', '128300000', '19400870'),
('217', 'DamnationAlley', '1977', 'USA', '91', 'English', 'PG', '', '17000000'),
('218', 'Eraserhead', '1977', 'USA', '89', 'English', 'Unrated', '', '20000'),
('219', 'ExorcistIITheHeretic', '1977', 'USA', '118', 'English', 'R', '', '14000000'),
('220', 'HighAnxiety', '1977', 'USA', '94', 'English', 'PG', '', '3400000'),
('221', 'Julia', '1977', 'USA', '117', 'English', 'PG', '', '7840000'),
('222', 'KingdomoftheSpiders', '1977', 'USA', '97', 'English', 'PG', '17000000', '500000'),
('223', 'MarchorDie', '1977', 'UK', '107', 'English', 'PG', '1000000', '9000000'),
('224', 'NewYorkNewYork', '1977', 'USA', '136', 'English', 'PG', '', '14000000'),
('225', 'Sorcerer', '1977', 'USA', '92', 'English', 'PG', '', '12000000'),
('226', 'StarWarsEpisodeIVANewHope', '1977', 'USA', '125', 'English', 'PG', '460935665', '11000000'),
('227', 'TheKentuckyFriedMovie', '1977', 'USA', '83', 'English', 'R', '', '650000'),
('228', 'TheSpyWhoLovedMe', '1977', 'UK', '123', 'English', 'PG', '46800000', '14000000'),
